Home_team,Away_team,Home_form,Away_form,Home_avg_scored,Away_avg_scored,Home_avg_conceded,Away_avg_conceded,Result
Crystal Palace,Chelsea,2,5,0.4,1.4,1.2,1.4,A
Newcastle,Aston Villa,10,7,1.8,1.2,1.0,1.4,A
Arsenal,Man United,11,9,1.8,1.4,0.8,0.8,A
Everton,Leeds,8,6,1.2,1.2,1.0,1.2,D
Chelsea,West Ham,8,7,1.8,1.6,1.2,1.8,H
Wolves,Bournemouth,6,8,1.0,2.2,0.8,2.0,A
Liverpool,Newcastle,4,10,1.0,1.8,1.2,1.2,H
Brighton,Everton,6,8,1.4,1.4,1.2,1.2,D
Leeds,Arsenal,6,8,1.2,1.8,1.2,1.2,A
Tottenham,Man City,3,6,1.2,0.8,1.6,0.8,D
Nott'm Forest,Crystal Palace,7,2,1.0,0.6,1.2,1.6,D
Aston Villa,Brentford,7,7,1.2,1.4,1.2,1.2,A
Man United,Fulham,9,8,1.8,1.4,1.2,1.2,H
Sunderland,Burnley,5,3,0.8,1.2,1.6,2.0,H
Leeds,Nott'm Forest,5,8,1.2,1.2,2.0,1.0,H
Wolves,Chelsea,5,10,0.8,2.0,1.0,1.2,A
Man United,Tottenham,11,3,2.2,1.6,1.4,2.0,H
Arsenal,Sunderland,8,7,1.8,1.4,1.0,1.6,H
Bournemouth,Aston Villa,10,7,2.2,1.0,1.6,0.6,D
Burnley,West Ham,3,6,1.0,1.6,2.0,2.0,A
Fulham,Everton,7,6,1.6,1.2,1.6,1.4,A
Newcastle,Brentford,7,9,1.4,1.6,1.8,1.2,A
Liverpool,Man City,6,6,1.8,1.2,1.4,1.2,A
Brighton,Crystal Palace,6,2,1.2,0.6,1.0,1.6,A
Chelsea,Leeds,12,7,2.4,1.6,1.2,2.0,D
Everton,Bournemouth,9,11,1.2,2.0,0.8,1.2,A
Tottenham,Newcastle,2,4,1.4,1.4,2.2,2.4,A
West Ham,Man United,9,13,2.0,2.4,1.4,1.2,D
Man City,Fulham,8,6,1.4,1.4,1.2,1.6,H
